V.1. Vehículos matriculados, Distribuidos por meses y tipos. Año 2020.;;;;;;;;;;
;;;;;;;;;;
mes;"CAMIONES
<= 3500";FURGONETAS;"CAMIONES
> 3500";AUTOBUSES;TURISMOS;MOTOCICLETAS;"TRACTORES
INDUSTRIALES";"OTROS
VEHÍCULOS";TOTAL;%
ENERO;3906;8793;909;340;95160;12965;1713;746;124532;9,7
FEBRERO;4406;9463;827;208;104398;13458;1393;893;135046;10,5
MARZO;2115;4211;622;112;41811;8342;840;657;58710;4,57
ABRIL;585;1035;386;57;4757;864;530;43;8257;0,64
MAYO;2525;5435;536;89;36667;10359;573;398;56582;4,41
JUNIO;4650;10180;811;145;90549;21717;1035;1299;130386;10,2
JULIO;6173;12011;835;206;127799;24859;1323;1621;174827;13,6
AGOSTO;3650;7221;621;111;74740;14399;1282;885;102909;8,02
SEPTIEMBRE;3588;10029;556;262;79309;16497;1731;673;112645;8,78
OCTUBRE;4323;11240;801;211;83815;14009;2340;778;117517;9,16
NOVIEMBRE;4245;10450;798;231;84560;11445;2192;754;114675;8,93
DICIEMBRE;4973;10577;702;296;115531;13346;1273;762;147460;11,5
TOTAL;45139;100645;8404;2268;939096;162260;16225;9509;1283546;100
PORCENTAJE;3,52;7,84;0,65;0,18;73,16;12,64;1,26;0,74;100;100
