V.1. Vehículos matriculados, Distribuidos por meses y tipos. Año 2019.;;;;;;;;;;
;;;;;;;;;;
mes;"CAMIONES
<= 3500";FURGONETAS;"CAMIONES
> 3500";AUTOBUSES;TURISMOS;MOTOCICLETAS;"TRACTORES
INDUSTRIALES";"OTROS
VEHÍCULOS";TOTAL;%
ENERO;5050;10361;988;359;102581;11636;1843;713;133531;7,45
FEBRERO;6039;9712;809;326;109346;11311;1275;737;139555;7,78
MARZO;6587;10865;881;347;133418;15833;1206;999;170136;9,49
ABRIL;6951;9951;886;332;130266;15806;1143;1306;166641;9,29
MAYO;6389;11499;1148;397;137059;18792;1512;1072;177868;9,92
JUNIO;6450;11219;1235;298;140412;19342;1818;1121;181895;10,1
JULIO;6193;11146;913;206;127474;21271;1159;1141;169503;9,45
AGOSTO;4419;9714;750;167;82541;12266;768;651;111276;6,21
SEPTIEMBRE;3852;8329;574;473;90257;15706;1361;471;121023;6,75
OCTUBRE;4937;10804;961;344;105050;16974;3277;609;142956;7,97
NOVIEMBRE;4637;10551;931;224;102875;13803;2057;696;135774;7,57
DICIEMBRE;5247;9872;722;177;114102;11187;1091;589;142987;7,97
TOTAL;66751;124023;10798;3650;1375381;183927;18510;10105;1793145;100
PORCENTAJE;3,72;6,92;0,6;0,2;76,7;10,26;1,03;0,56;100;100
